timestamp,provider,model,technique,latency_ms,input_tokens_est,context_tokens_est,total_est,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,retry_count,backoff_ms_total,overflow_handled,cost_estimate_usd,notes
2026-01-16T07:25:27.352306,openai,gpt-4o-mini,few_shot,1495,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:28.359165,openai,gpt-4o-mini,few_shot,1005,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:29.548028,openai,gpt-4o-mini,few_shot,1175,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:30.582792,openai,gpt-4o-mini,few_shot,1032,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:31.393782,openai,gpt-4o-mini,few_shot,809,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:32.101001,openai,gpt-4o-mini,few_shot,703,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:32.945742,openai,gpt-4o-mini,few_shot,843,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:34.026349,openai,gpt-4o-mini,few_shot,1079,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:34.988193,openai,gpt-4o-mini,few_shot,960,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:36.226878,openai,gpt-4o-mini,few_shot,1237,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:36.956063,openai,gpt-4o-mini,few_shot,728,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:38.306254,openai,gpt-4o-mini,few_shot,1348,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:38.993341,openai,gpt-4o-mini,few_shot,684,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:39.745460,openai,gpt-4o-mini,few_shot,749,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:40.540271,openai,gpt-4o-mini,few_shot,792,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:41.498884,openai,gpt-4o-mini,few_shot,957,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:42.309335,openai,gpt-4o-mini,few_shot,808,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:43.037847,openai,gpt-4o-mini,few_shot,726,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:44.083008,openai,gpt-4o-mini,few_shot,1043,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:44.913046,openai,gpt-4o-mini,few_shot,828,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:45.841361,openai,gpt-4o-mini,few_shot,927,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:54.349881,openai,gpt-4o-mini,few_shot,8507,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:25:57.347421,openai,gpt-4o-mini,few_shot,2995,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:00.413312,openai,gpt-4o-mini,few_shot,3064,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:09.155454,openai,gpt-4o-mini,few_shot,8741,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:10.806554,openai,gpt-4o-mini,few_shot,1650,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:11.826777,openai,gpt-4o-mini,few_shot,1019,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:12.661771,openai,gpt-4o-mini,few_shot,833,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:13.710241,openai,gpt-4o-mini,few_shot,1047,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:14.631684,openai,gpt-4o-mini,few_shot,920,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:15.463586,openai,gpt-4o-mini,few_shot,826,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:16.523178,openai,gpt-4o-mini,few_shot,1057,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:17.746882,openai,gpt-4o-mini,few_shot,1222,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:19.151617,openai,gpt-4o-mini,few_shot,1403,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:19.994090,openai,gpt-4o-mini,few_shot,841,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:20.905035,openai,gpt-4o-mini,few_shot,909,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:21.826418,openai,gpt-4o-mini,few_shot,920,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:22.728684,openai,gpt-4o-mini,few_shot,900,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:23.868767,openai,gpt-4o-mini,few_shot,1138,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:24.739438,openai,gpt-4o-mini,few_shot,869,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:25.891198,openai,gpt-4o-mini,few_shot,1149,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:26.783507,openai,gpt-4o-mini,few_shot,890,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:27.849891,openai,gpt-4o-mini,few_shot,1065,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:30.178081,openai,gpt-4o-mini,few_shot,2327,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:30.910406,openai,gpt-4o-mini,few_shot,731,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:31.973986,openai,gpt-4o-mini,few_shot,1062,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:32.728290,openai,gpt-4o-mini,few_shot,753,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:33.551287,openai,gpt-4o-mini,few_shot,822,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:34.953679,openai,gpt-4o-mini,few_shot,1401,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:35.753573,openai,gpt-4o-mini,few_shot,799,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:38.692627,openai,gpt-4o-mini,few_shot,2937,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:26:40.521461,openai,gpt-4o-mini,few_shot,1826,279,0,282,282,11,293,0,0,False,~$0.000049,
2026-01-16T07:27:44.547329,openai,o3-mini,cot_Safe Mode,7287,176,0,179,178,821,999,0,0,False,~$0.003462,
2026-01-16T07:27:50.709855,openai,o3-mini,cot_Chaos Mode,6160,176,0,179,178,764,942,0,0,False,~$0.003234,
2026-01-16T07:27:55.954064,openai,o3-mini,cot_Chaos Mode,5241,176,0,179,178,669,847,0,0,False,~$0.002854,
2026-01-16T07:28:02.534067,openai,o3-mini,cot_Chaos Mode,6577,176,0,179,178,744,922,0,0,False,~$0.003154,
2026-01-16T07:28:08.747723,openai,o3-mini,cot_Safe Mode,6211,182,0,185,184,802,986,0,0,False,~$0.003392,
2026-01-16T07:28:13.835951,openai,o3-mini,cot_Chaos Mode,5086,182,0,185,184,587,771,0,0,False,~$0.002532,
2026-01-16T07:28:21.275587,openai,o3-mini,cot_Chaos Mode,7437,182,0,185,184,833,1017,0,0,False,~$0.003516,
2026-01-16T07:28:33.870918,openai,o3-mini,cot_Chaos Mode,12593,182,0,185,184,1357,1541,0,0,False,~$0.005612,
2026-01-16T07:28:46.020663,openai,o3-mini,zero_shot,4479,3030,0,3033,3033,41,3074,0,0,False,~$0.003197,
2026-01-16T07:29:35.402805,openai,o3-mini,cot_reasoning,11121,218,0,221,220,1820,2040,0,0,False,~$0.007500,
2026-01-16T07:30:07.388957,openai,o3-mini,tot_reasoning,31972,222,0,225,224,3863,4087,0,0,False,~$0.015676,
2026-01-16T07:38:57.306329,openai,gpt-4o-mini,json_extract,2562,364,0,367,367,48,415,0,0,False,~$0.000084,
2026-01-16T07:38:59.521621,openai,gpt-4o-mini,json_extract,2213,364,0,367,367,47,414,0,0,False,~$0.000083,
2026-01-16T07:39:01.440591,openai,gpt-4o-mini,json_extract,1916,358,0,361,361,44,405,0,0,False,~$0.000081,
2026-01-16T07:39:04.225447,openai,gpt-4o-mini,json_extract,2782,357,0,360,360,47,407,0,0,False,~$0.000082,
2026-01-16T07:39:06.312057,openai,gpt-4o-mini,json_extract,2082,368,0,371,371,50,421,0,0,False,~$0.000086,
2026-01-16T07:39:07.592823,openai,gpt-4o-mini,json_extract,1278,350,0,353,353,26,379,0,0,False,~$0.000069,
2026-01-16T07:39:08.711530,openai,gpt-4o-mini,json_extract,1116,351,0,354,354,25,379,0,0,False,~$0.000068,
2026-01-16T07:39:10.360249,openai,gpt-4o-mini,json_extract,1645,367,0,370,370,48,418,0,0,False,~$0.000084,
2026-01-16T07:39:11.720936,openai,gpt-4o-mini,json_extract,1358,350,0,353,353,25,378,0,0,False,~$0.000068,
2026-01-16T07:39:13.239196,openai,gpt-4o-mini,json_extract,1516,353,0,356,356,46,402,0,0,False,~$0.000081,
2026-01-16T07:39:15.275795,openai,gpt-4o-mini,json_extract,2032,361,0,364,364,46,410,0,0,False,~$0.000082,
2026-01-16T07:39:16.810849,openai,gpt-4o-mini,json_extract,1531,352,0,355,355,47,402,0,0,False,~$0.000081,
2026-01-16T07:39:18.385518,openai,gpt-4o-mini,json_extract,1570,358,0,361,361,48,409,0,0,False,~$0.000083,
2026-01-16T07:39:20.470043,openai,gpt-4o-mini,json_extract,2080,363,0,366,366,46,412,0,0,False,~$0.000082,
2026-01-16T07:39:22.735158,openai,gpt-4o-mini,json_extract,2262,354,0,357,357,48,405,0,0,False,~$0.000082,
2026-01-16T07:39:24.232447,openai,gpt-4o-mini,json_extract,1493,361,0,364,364,46,410,0,0,False,~$0.000082,
2026-01-16T07:39:26.474991,openai,gpt-4o-mini,json_extract,2238,355,0,358,358,49,407,0,0,False,~$0.000083,
2026-01-16T07:39:27.755242,openai,gpt-4o-mini,json_extract,1277,350,0,353,353,25,378,0,0,False,~$0.000068,
2026-01-16T07:39:30.471617,openai,gpt-4o-mini,json_extract,2714,353,0,356,356,46,402,0,0,False,~$0.000081,
2026-01-16T07:39:32.257211,openai,gpt-4o-mini,json_extract,1782,358,0,361,361,45,406,0,0,False,~$0.000081,
2026-01-16T07:39:33.992015,openai,gpt-4o-mini,json_extract,1731,358,0,361,361,46,407,0,0,False,~$0.000082,
2026-01-16T07:39:35.532823,openai,gpt-4o-mini,json_extract,1536,357,0,360,360,48,408,0,0,False,~$0.000083,
2026-01-16T07:39:37.319776,openai,gpt-4o-mini,json_extract,1784,350,0,353,353,28,381,0,0,False,~$0.000070,
2026-01-16T07:39:38.967994,openai,gpt-4o-mini,json_extract,1646,362,0,365,365,47,412,0,0,False,~$0.000083,
2026-01-16T07:39:40.871407,openai,gpt-4o-mini,json_extract,1899,351,0,354,354,44,398,0,0,False,~$0.000079,
2026-01-16T07:39:42.469244,openai,gpt-4o-mini,json_extract,1594,361,0,364,364,45,409,0,0,False,~$0.000082,
2026-01-16T07:39:43.548953,openai,gpt-4o-mini,json_extract,1077,348,0,351,351,21,372,0,0,False,~$0.000065,
2026-01-16T07:39:44.840849,openai,gpt-4o-mini,json_extract,1289,357,0,360,360,46,406,0,0,False,~$0.000082,
2026-01-16T07:39:47.158068,openai,gpt-4o-mini,json_extract,2314,349,0,352,352,46,398,0,0,False,~$0.000080,
2026-01-16T07:39:48.933385,openai,gpt-4o-mini,json_extract,1773,359,0,362,362,46,408,0,0,False,~$0.000082,
